kappa_cc,kappa_link,n,true_mi,true_cmi,mi_mean,cmi_mean,cmi_bias,cmi_floor
0.3,0.0,300,0.013935918571120537,3.3635978290056626e-16,0.013149685446031957,0.0023700564639051276,0.002370056463904791,0.029543140474191376
0.3,0.0,1000,0.013935918571120537,3.3635978290056626e-16,0.013976786130703172,0.0004959885357401642,0.0004959885357398279,0.008617544265904485
0.3,0.0,3000,0.013935918571120537,3.3635978290056626e-16,0.014067961066926586,0.00013863153476612687,0.00013863153476579052,0.0025112558153206816
0.3,0.0,10000,0.013935918571120537,3.3635978290056626e-16,0.01381058317611451,-2.7945753584695643e-05,-2.7945753585032003e-05,0.0008770157479001277
0.3,0.3,300,0.211039961941345,0.1603407852141122,0.21122526214981854,0.164000448179005,0.0036596629648927848,0.08333372075178563
0.3,0.3,1000,0.211039961941345,0.1603407852141122,0.21035962625487575,0.15944281782465464,-0.0008979673894575768,0.04602706908515899
0.3,0.3,3000,0.211039961941345,0.1603407852141122,0.20967375475344557,0.15971886159782733,-0.0006219236162848807,0.025193184313137454
0.3,0.3,10000,0.211039961941345,0.1603407852141122,0.2102385296931565,0.15964323483210394,-0.0006975503820082773,0.01340393987905536
0.3,0.6,300,0.6717398759458566,0.5957906103561492,0.6736025455010087,0.6075053470447478,0.01171473668859857,0.15174877593749944
0.3,0.6,1000,0.6717398759458566,0.5957906103561492,0.6734801008139282,0.5991287267810674,0.003338116424918214,0.08264127821022982
0.3,0.6,3000,0.6717398759458566,0.5957906103561492,0.6724790809141797,0.5963528433894782,0.0005622330333290293,0.04974259132174591
0.3,0.6,10000,0.6717398759458566,0.5957906103561492,0.6721128806647494,0.596214002464507,0.0004233921083577341,0.024504527464365322
0.3,0.9,300,1.470206667404664,1.3730332376706036,1.4860037420853631,1.4089362172870392,0.035902979616435626,0.1515158997901731
0.3,0.9,1000,1.470206667404664,1.3730332376706036,1.466564704438793,1.3737283709951549,0.0006951333245512892,0.08622337503691413
0.3,0.9,3000,1.470206667404664,1.3730332376706036,1.4727401635525417,1.3750478110435083,0.002014573372904671,0.048507253602462885
0.3,0.9,10000,1.470206667404664,1.3730332376706036,1.4719073860638536,1.3751454986932135,0.0021122610226098626,0.028476621716228778
0.6,0.0,300,0.15495778397542728,3.1393579737386183e-16,0.15702430684209945,0.01778610658784903,0.017786106587848717,0.0345796128521903
0.6,0.0,1000,0.15495778397542728,3.1393579737386183e-16,0.15846093669172112,0.0010598932888575218,0.0010598932888572078,0.008819336637098597
0.6,0.0,3000,0.15495778397542728,3.1393579737386183e-16,0.15546319108840526,0.0001428863179532532,0.00014288631795293926,0.0029965638332246887
0.6,0.0,10000,0.15495778397542728,3.1393579737386183e-16,0.1545425659187222,2.034162581849368e-05,2.0341625818179746e-05,0.0009320878441736505
0.6,0.3,300,0.3706604654492099,0.13311596435288844,0.3726966061220859,0.15002844352102687,0.016912479168138428,0.07807271183363232
0.6,0.3,1000,0.3706604654492099,0.13311596435288844,0.3664284654931806,0.1318148874633919,-0.001301076889496544,0.03852809659408525
0.6,0.3,3000,0.3706604654492099,0.13311596435288844,0.37201251656262163,0.13460977081879058,0.0014938064659021366,0.02252023620750051
0.6,0.3,10000,0.3706604654492099,0.13311596435288844,0.3706832403032496,0.13331302836197378,0.00019706400908534039,0.014106804303429248
0.6,0.6,300,0.7616696173215004,0.46375115020572866,0.7558036382151634,0.4786417637672721,0.01489061356154342,0.15026195791112035
0.6,0.6,1000,0.7616696173215004,0.46375115020572866,0.7610496182414471,0.46737199798869483,0.0036208477829661745,0.07128996924260189
0.6,0.6,3000,0.7616696173215004,0.46375115020572866,0.7621144361249935,0.4652503577766928,0.0014992075709641672,0.042098642848707846
0.6,0.6,10000,0.7616696173215004,0.46375115020572866,0.7613044321799538,0.46321662383877055,-0.0005345263669581102,0.022505586170870756
