rho,lam,n,true_mi,true_cmi,mi_mean,mi_floor,cmi_mean,cmi_bias,cmi_floor
0.5,0.25,300,0.0,0.0028196011057357584,8.706176223831024e-05,0.005822364082026984,0.0030597248613015555,0.00024012375556579707,0.012213570878169409
0.5,0.25,1000,0.0,0.0028196011057357584,-2.9335498664153603e-05,0.0018347272065751725,0.002630898438936855,-0.0001887026667989032,0.005728137471936763
0.5,0.25,3000,0.0,0.0028196011057357584,-2.598578939516684e-06,0.0005019751780504126,0.002689087620373293,-0.00013051348536246557,0.0032778740963432685
0.5,0.25,10000,0.0,0.0028196011057357584,1.2832357146722798e-05,0.00023141045099527488,0.002782699931815051,-3.690117392070747e-05,0.0019405008587672597
0.5,0.5,300,0.0,0.01130059171150255,-2.5387636270278804e-05,0.0061274530714000314,0.011176915672052097,-0.00012367603945045297,0.02383377459040617
0.5,0.5,1000,0.0,0.01130059171150255,4.2938668210424704e-05,0.0017898466167400214,0.011604356431529617,0.00030376472002706725,0.010409486466677352
0.5,0.5,3000,0.0,0.01130059171150255,2.0614244473912542e-05,0.0006736257093487716,0.010893758714087279,-0.00040683299741527124,0.006401526164868169
0.5,0.5,10000,0.0,0.01130059171150255,-2.2405928725476378e-07,0.00018824634085391133,0.011303011143015565,2.419431513014589e-06,0.003517382385456103
0.5,0.75,300,0.0,0.025510596601947655,-0.00034128230030684096,0.0043380412606243614,0.025537025514593706,2.642891264605096e-05,0.029516284603433914
0.5,0.75,1000,0.0,0.025510596601947655,6.521539315538813e-05,0.0015740519295442629,0.02639295875993426,0.0008823621579866041,0.016939119823262606
0.5,0.75,3000,0.0,0.025510596601947655,4.25496637886718e-05,0.0007584019929493485,0.025406242690888103,-0.00010435391105955219,0.008626604753456153
0.5,0.75,10000,0.0,0.025510596601947655,-4.6543983857810485e-06,0.00017481363082234391,0.0254316314168447,-7.896518510295408e-05,0.005542438381684722
0.5,1.0,300,0.0,0.04556599707503495,6.636480848645925e-05,0.0053470939949086405,0.04446745335499868,-0.0010985437200362672,0.034510429605571394
0.5,1.0,1000,0.0,0.04556599707503495,0.00011537829607772749,0.0016509149761133165,0.04462214608566629,-0.0009438509893686595,0.020734178343774307
0.5,1.0,3000,0.0,0.04556599707503495,-2.873688593648937e-05,0.0005252737450498904,0.04526606653968999,-0.00029993053534495967,0.01146547953145723
0.5,1.0,10000,0.0,0.04556599707503495,6.94246105432107e-06,0.00022200545240905477,0.04557533821610573,9.341141070783043e-06,0.006628323621103018
0.75,0.0,300,0.0,0.0,0.0001133959318026534,0.005026963348456373,6.99617979275026e-05,6.99617979275026e-05,0.009258862554240972
0.75,0.0,1000,0.0,0.0,-1.6566137203312764e-05,0.001735498444008633,1.3182508389344159e-05,1.3182508389344159e-05,0.002487072619504795
0.75,0.0,3000,0.0,0.0,2.4137292613956733e-05,0.0006060030886289163,2.608008091222996e-05,2.608008091222996e-05,0.0009746584447634201
0.75,0.0,10000,0.0,0.0,8.456396890248976e-06,0.00024064392685833752,-7.725565832319721e-06,-7.725565832319721e-06,0.00025665292984341934
0.75,0.25,300,0.0,0.014312320641386989,0.00014931349242424156,0.005865981924835427,0.013234742219528138,-0.0010775784218588508,0.0241672756751688
0.75,0.25,1000,0.0,0.014312320641386989,7.426274797469146e-06,0.001956753116227238,0.015332166813577767,0.0010198461721907786,0.01154126079131965
0.75,0.25,3000,0.0,0.014312320641386989,1.2587019980708846e-05,0.0006768063890942206,0.01402508815844917,-0.0002872324829378183,0.006570746251070276
0.75,0.25,10000,0.0,0.014312320641386989,1.4861451817203934e-06,0.0001845580091682624,0.014468016472552865,0.00015569583116587654,0.0043713037532482155
0.75,0.5,300,0.0,0.05783683091644887,0.0002666285079759481,0.0064242828362732944,0.057551058947346405,-0.0002857719691024621,0.0420538801918796
0.75,0.5,1000,0.0,0.05783683091644887,7.326476155372578e-05,0.0019491430068986552,0.057380743433394235,-0.00045608748305463187,0.026057996285607055
0.75,0.5,3000,0.0,0.05783683091644887,-9.026537688920816e-06,0.0007847591528381694,0.057409839772304565,-0.0004269911441443022,0.014638076661962218
0.75,0.5,10000,0.0,0.05783683091644887,2.929068252607767e-06,0.0001923668202788643,0.057490664600499335,-0.00034616631594953234,0.007790781302244511
0.75,0.75,300,0.0,0.1324928655183788,0.00040312475924143593,0.005724119321847505,0.13126105011873307,-0.0012318153996457304,0.06996113343327828
0.75,0.75,1000,0.0,0.1324928655183788,0.00013382203291096122,0.00247835075484395,0.13246692367196242,-2.5941846416382974e-05,0.0384620654063429
0.75,0.75,3000,0.0,0.1324928655183788,-3.0507870232978568e-05,0.0004901237612044744,0.13238393841167342,-0.00010892710670537542,0.02213119703867123
0.75,0.75,10000,0.0,0.1324928655183788,1.1883565918028583e-05,0.0002008393576464567,0.13207579562841526,-0.00041706988996353944,0.011746409970370165
0.75,1.0,300,0.0,0.24212153746160459,7.820607618323643e-05,0.005875156406567612,0.24064127281325198,-0.0014802646483526027,0.08781344133412042
0.75,1.0,1000,0.0,0.24212153746160459,9.610711749312385e-05,0.0019336612336657497,0.24068742395179019,-0.0014341135098143998,0.0528291865055755
0.75,1.0,3000,0.0,0.24212153746160459,-2.3658290331209347e-06,0.0006136046069081602,0.2423525643223605,0.00023102686075590628,0.025064142609475135
